genmodel_id,year,entry_price
16_2,2016.0,10690.0
16_3,1999.0,22075.0
16_3,2000.0,22925.0
16_3,2001.0,22925.0
16_3,2002.0,22925.0
16_3,2003.0,22925.0
16_3,2004.0,22925.0
16_4,2011.0,33940.0
16_4,2012.0,33940.0
16_4,2013.0,33940.0
16_4,2014.0,34200.0
16_4,2015.0,34200.0
16_4,2016.0,34200.0
16_5,2007.0,16740.0
16_5,2008.0,15730.0
16_5,2009.0,15730.0
16_5,2010.0,17925.0
16_5,2011.0,18540.0
16_5,2012.0,21675.0
16_5,2013.0,21070.0
16_5,2014.0,21070.0
16_5,2015.0,21070.0
16_5,2016.0,21070.0
16_7,2009.0,11790.0
16_7,2010.0,12590.0
16_7,2011.0,13185.0
16_7,2012.0,13585.0
16_7,2013.0,14050.0
16_7,2014.0,14340.0
16_7,2015.0,14565.0
16_7,2016.0,14565.0
16_8,2008.0,13330.0
16_8,2009.0,13438.0
16_8,2010.0,14325.0
17_1,2005.0,25542.0
17_1,2006.0,25542.0
17_1,2007.0,26002.0
17_1,2008.0,27240.0
17_1,2009.0,23725.0
17_1,2010.0,23725.0
17_1,2011.0,26390.0
17_1,2012.0,35615.0
17_1,2013.0,35610.0
17_1,2014.0,29465.0
17_1,2015.0,29480.0
17_1,2016.0,29480.0
17_10,2011.0,10640.0
17_10,2012.0,10640.0
17_10,2013.0,9840.0
17_10,2014.0,9840.0
17_10,2015.0,9940.0
17_10,2016.0,9940.0
17_2,2003.0,27075.0
17_2,2004.0,27082.0
17_2,2005.0,24792.0
17_2,2006.0,24792.0
17_2,2007.0,24645.0
17_2,2008.0,24645.0
17_3,2011.0,16510.0
17_3,2012.0,16510.0
17_3,2013.0,15805.0
17_3,2014.0,15805.0
17_4,1998.0,21745.0
17_4,1999.0,21745.0
17_4,2000.0,21745.0
17_4,2001.0,21745.0
17_4,2002.0,23710.0
17_4,2003.0,23910.0
17_4,2004.0,23917.0
17_4,2005.0,25517.0
17_4,2006.0,25587.0
17_4,2007.0,25740.0
17_4,2008.0,25545.0
17_4,2009.0,25001.0
17_4,2010.0,26120.0
17_4,2011.0,26390.0
17_4,2012.0,27360.0
17_4,2013.0,27590.0
17_4,2014.0,27590.0
17_4,2015.0,27620.0
17_4,2016.0,27620.0
17_5,1998.0,11820.0
17_5,1999.0,10815.0
17_5,2000.0,10815.0
17_5,2001.0,10815.0
17_5,2002.0,10815.0
17_5,2003.0,12515.0
17_7,2000.0,14815.0
17_7,2001.0,14815.0
17_7,2002.0,13315.0
17_7,2003.0,12810.0
17_7,2004.0,12797.0
17_7,2005.0,12792.0
17_7,2006.0,12792.0
17_7,2007.0,12740.0
17_7,2008.0,12740.0
17_7,2009.0,15870.0
17_8,2001.0,22815.0
17_8,2002.0,22815.0
17_8,2007.0,17780.0
17_8,2008.0,18080.0
17_8,2009.0,17695.0
17_8,2010.0,18170.0
17_9,1998.0,18245.0
17_9,1999.0,18245.0
17_9,2000.0,18245.0
17_9,2001.0,17835.0
17_9,2002.0,18315.0
17_9,2003.0,18297.0
17_9,2004.0,18297.0
17_9,2005.0,18292.0
17_9,2006.0,18292.0
17_9,2007.0,18502.0
17_9,2008.0,18505.0
18_10,2009.0,11290.0
18_10,2010.0,12240.0
18_10,2011.0,12515.0
18_10,2012.0,13010.0
18_10,2013.0,12800.0
18_10,2014.0,12800.0
18_10,2015.0,12880.0
18_10,2016.0,12880.0
18_10,2017.0,16920.0
18_10,2018.0,17290.0
18_11,2003.0,11845.0
18_11,2004.0,11932.0
18_11,2005.0,12032.0
18_11,2006.0,12232.0
18_11,2007.0,12332.0
18_11,2008.0,12332.0
18_11,2009.0,12851.0
18_11,2010.0,14535.0
18_12,2004.0,10932.0
18_12,2005.0,10932.0
18_12,2006.0,10932.0
18_12,2007.0,11332.0
18_12,2008.0,11905.0
18_12,2009.0,11936.0
18_12,2010.0,13090.0
18_12,2011.0,14335.0
18_12,2012.0,13820.0
18_12,2013.0,13815.0
18_12,2014.0,13815.0
18_12,2015.0,14055.0
18_12,2016.0,14590.0
18_12,2017.0,15540.0
18_12,2018.0,15540.0
18_13,2014.0,12935.0
18_13,2015.0,12935.0
18_13,2016.0,12935.0
18_13,2017.0,13205.0
18_13,2018.0,13575.0
18_13,2019.0,17070.0
18_13,2020.0,19370.0
18_13,2021.0,20205.0
18_14,2007.0,14267.0
18_14,2008.0,13730.0
18_14,2009.0,13477.0
18_14,2010.0,13765.0
18_14,2011.0,16135.0
18_14,2012.0,16830.0
18_14,2013.0,16830.0
18_14,2014.0,17305.0
18_14,2015.0,17560.0
18_14,2016.0,17560.0
18_14,2017.0,18940.0
18_14,2018.0,20905.0
18_14,2019.0,21475.0
18_14,2020.0,23260.0
18_15,2001.0,14430.0
18_15,2002.0,14430.0
18_15,2003.0,14530.0
18_15,2004.0,14597.0
18_15,2005.0,14170.0
18_15,2006.0,13942.0
18_15,2007.0,14042.0
18_15,2008.0,14170.0
18_15,2009.0,15297.0
18_15,2010.0,16925.0
18_15,2011.0,19140.0
18_15,2012.0,19840.0
18_15,2013.0,19840.0
18_15,2014.0,20400.0
18_15,2015.0,20675.0
18_15,2016.0,21615.0
18_15,2017.0,24340.0
18_16,2006.0,27847.0
18_16,2007.0,27847.0
18_16,2008.0,26770.0
18_16,2009.0,26770.0
18_16,2010.0,28525.0
18_16,2011.0,34515.0
18_16,2012.0,39660.0
18_17,2003.0,18115.0
18_17,2004.0,18397.0
18_17,2005.0,18752.0
18_17,2006.0,18792.0
18_17,2007.0,19407.0
18_17,2008.0,19435.0
18_17,2009.0,19800.0
18_17,2010.0,23365.0
18_18,2006.0,18379.0
18_18,2007.0,18379.0
18_18,2008.0,18639.0
18_18,2009.0,19065.0
18_18,2010.0,20955.0
18_18,2011.0,21305.0
18_18,2012.0,21990.0
18_18,2013.0,22610.0
18_18,2014.0,23090.0
18_18,2015.0,23505.0
18_18,2016.0,23505.0
18_18,2019.0,26695.0
18_18,2020.0,26320.0
18_2,1998.0,10660.0
